"versao";"classificacao";"submercado";"janela";"metrica";"referencia";"valor";"unidade"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T00:00:00-03:00";"124.56";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T01:00:00-03:00";"122.09";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T02:00:00-03:00";"118.99";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T03:00:00-03:00";"116.39";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T04:00:00-03:00";"117.66";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T05:00:00-03:00";"119.91";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T06:00:00-03:00";"134.28";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T07:00:00-03:00";"151.85";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T08:00:00-03:00";"164.8";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T09:00:00-03:00";"162.07";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T10:00:00-03:00";"162.88";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T11:00:00-03:00";"171.75";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T12:00:00-03:00";"184.36";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T13:00:00-03:00";"173.63";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T14:00:00-03:00";"160.39";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T15:00:00-03:00";"161.96";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T16:00:00-03:00";"176.84";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T17:00:00-03:00";"203.73";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T18:00:00-03:00";"230.8";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T19:00:00-03:00";"248.32";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T20:00:00-03:00";"242.03";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T21:00:00-03:00";"225.14";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T22:00:00-03:00";"203.52";"R$/MWh"
"NVR-DEMO-2026.09.10-v1";"DEMONSTRACAO_SINTETICA";"Sul";"24h";"Preço de referência simulado";"2026-09-10T23:00:00-03:00";"185.29";"R$/MWh"
