asset,page_url,author_owner,license_status,resolution,suggested_use,obligation_or_limit
Itaipu aerial,"https://commons.wikimedia.org/wiki/File:Itaipu_Dam,_aerial_photograph.jpg",Acediscovery,CC BY 4.0,2600x2773,Hero territory / dam scale,Attribution required; link license; indicate modifications
Itaipu central control room,https://commons.wikimedia.org/wiki/File:Itaipu-Wasserkraftwerk_Kontrollraum.JPG,Anagoria,CC BY 3.0 (also GFDL offered),3648x2736,Real operational environment,Attribution required; use selected license terms
Itaipu power lines and lake,https://commons.wikimedia.org/wiki/File:Power_lines_and_Itaipu_lake_(8155778229)_(2).jpg,Leandro Neumann Ciuffo,CC BY 2.0,3462x2310,Transmission + real Itaipu geography,Attribution required; link license; indicate modifications
Itaipu spillway,https://commons.wikimedia.org/wiki/File:Itaipu_Dam_Spillway.jpg,Gabriel Resende Veiga,CC BY-SA 4.0,5312x2988,Hydro flow / spillway cinematic scene,Attribution + ShareAlike for adaptations; legal/product review before derivative shipping
Itaipu generator hall,https://commons.wikimedia.org/wiki/File:Itaipu_D%C3%A9cembre_2007_-_Salle_des_G%C3%A9n%C3%A9rateurs.jpg,Martin St-Amant,CC BY 3.0,4542x1660,Industrial interior / generation scale,Attribution required; Commons page requests credit near image
Itaipu virtual video,https://commons.wikimedia.org/wiki/File:Itaipu_virtual.webm,TV BrasilGov,CC BY 3.0,1920x1080; 2m18s,Reference / possible real Itaipu video source,Human copyright review required by Commons note before production use
EPE Webmap,https://www.epe.gov.br/pt/publicacoes-dados-abertos/publicacoes/webmap-epe,EPE,Site states CC BY 4.0,interactive,Real energy geography / metadata,Verify individual service/layer terms and attribution
EPE SIN map,https://www.epe.gov.br/pt/publicacoes-dados-abertos/publicacoes/mapa-do-sistema-interligado-nacional,EPE,Site states CC BY 4.0,digital/georeferenced map,SIN geography,Attribution required
Itaipu official media bank,https://bancodeimagens.itaipu.gov.br/fotoweb/,Itaipu Binacional,Terms must be checked,various,Official visual research / potential licensed production,Do not assume unrestricted reuse; inspect current terms/contact
Furnas official photos,https://www.furnas.com.br/subsecao/248/fotos?culture=pt,Furnas,Permission not established in this pack,various,Historical construction/transmission/field work reference,Reference only until rights confirmed
ANEEL GGT,https://www.gov.br/aneel/pt-br/empreendedores/transmissao/gestao-geoespacializada-da-transmissao,ANEEL,Government-page terms vary; treat as factual reference,web,Field inspection -> photo evidence -> geospatial monitoring,Use as semantic/factual reference; do not imply data integration
